Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
24/11/2018,Valencia,Vallecano,3,0,H,13,13,10,3,15,14,6,5,2,4,0,1,LL
25/11/2018,Ath Bilbao,Getafe,1,1,D,8,15,4,2,10,12,2,2,5,4,0,0,LL
25/11/2018,Espanol,Girona,1,3,A,18,16,10,11,16,14,8,3,3,4,0,0,LL
25/11/2018,Sevilla,Valladolid,1,0,H,17,13,9,5,15,15,8,6,3,3,0,0,LL
25/11/2018,Villarreal,Betis,2,1,H,13,13,8,6,15,13,5,4,2,1,0,0,LL
26/11/2018,Sociedad,Celta,2,1,H,15,6,8,2,12,14,6,2,2,2,0,0,LL
30/11/2018,Vallecano,Eibar,1,0,H,5,13,2,5,15,12,1,4,5,3,0,0,LL
01/12/2018,Celta,Huesca,2,0,H,12,8,5,3,14,14,4,4,2,3,0,0,LL
01/12/2018,Getafe,Espanol,3,0,H,14,8,5,2,17,16,7,4,3,2,0,0,LL
01/12/2018,Real Madrid,Valencia,2,0,H,13,7,3,2,11,10,2,2,1,3,0,0,LL
01/12/2018,Valladolid,Leganes,2,4,A,20,14,6,5,5,13,6,5,0,3,0,0,LL
02/12/2018,Alaves,Sevilla,1,1,D,11,14,3,3,21,14,2,5,3,3,0,0,LL
02/12/2018,Barcelona,Villarreal,2,0,H,16,12,7,2,9,17,11,1,2,4,0,0,LL
02/12/2018,Betis,Sociedad,1,0,H,6,6,4,4,18,18,6,4,4,2,0,0,LL
02/12/2018,Girona,Ath Madrid,1,1,D,13,17,3,3,8,16,2,9,0,5,0,0,LL
03/12/2018,Levante,Ath Bilbao,3,0,H,17,12,7,3,11,15,2,6,3,5,0,1,LL
07/12/2018,Leganes,Getafe,1,1,D,17,6,5,2,12,13,7,2,1,2,1,0,LL
08/12/2018,Ath Madrid,Alaves,3,0,H,12,13,5,3,20,15,5,5,5,4,0,0,LL
