Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
09/02/2025,14:00,Lyon,Reims,4,0,H,15,9,9,2,10,12,6,6,0,0,0,0,Ligue1
09/02/2025,16:15,Auxerre,Toulouse,2,2,D,9,7,3,3,11,9,3,5,1,1,0,0,Ligue1
09/02/2025,16:15,Strasbourg,Montpellier,2,0,H,22,11,6,2,12,12,6,2,1,4,0,0,Ligue1
09/02/2025,19:45,Angers,Marseille,0,2,A,5,18,0,10,10,8,1,7,1,2,0,0,Ligue1
14/02/2025,19:45,Brest,Auxerre,2,2,D,18,11,6,6,9,12,6,4,2,2,0,0,Ligue1
15/02/2025,16:00,Marseille,St Etienne,5,1,H,28,7,14,2,14,9,14,3,1,1,0,0,Ligue1
15/02/2025,18:00,Monaco,Nantes,7,1,H,22,6,11,2,18,9,9,1,1,1,0,1,Ligue1
15/02/2025,20:05,Toulouse,Paris SG,0,1,A,14,20,4,6,9,6,5,2,2,0,0,0,Ligue1
16/02/2025,14:00,Montpellier,Lyon,1,4,A,11,9,4,6,14,12,7,4,3,1,0,0,Ligue1
16/02/2025,16:15,Le Havre,Nice,1,3,A,14,9,4,3,14,16,6,2,2,2,0,1,Ligue1
16/02/2025,16:15,Lens,Strasbourg,0,2,A,7,13,0,5,12,15,7,3,4,2,1,0,Ligue1
16/02/2025,16:15,Reims,Angers,0,1,A,16,10,4,3,13,6,1,4,2,1,0,0,Ligue1
16/02/2025,19:45,Rennes,Lille,0,2,A,4,18,0,7,9,18,4,8,2,1,1,0,Ligue1
21/02/2025,19:45,Rennes,Reims,1,0,H,26,3,5,0,15,7,9,2,1,2,0,2,Ligue1
22/02/2025,16:00,Lille,Monaco,2,1,H,9,13,6,3,11,18,1,6,4,2,0,0,Ligue1
22/02/2025,18:00,St Etienne,Angers,3,3,D,19,13,8,4,13,16,4,3,3,0,0,0,Ligue1
22/02/2025,20:05,Auxerre,Marseille,3,0,H,9,8,5,2,9,13,2,5,1,3,0,1,Ligue1
23/02/2025,14:00,Nantes,Lens,3,1,H,17,14,8,4,13,18,2,11,2,4,0,1,Ligue1
23/02/2025,16:15,Le Havre,Toulouse,1,4,A,11,11,3,5,11,13,5,3,0,2,1,0,Ligue1
23/02/2025,16:15,Nice,Montpellier,2,0,H,16,13,6,1,17,15,8,5,1,1,0,0,Ligue1
23/02/2025,16:15,Strasbourg,Brest,0,0,D,3,12,1,2,12,12,1,8,3,1,0,0,Ligue1
23/02/2025,19:45,Lyon,Paris SG,2,3,A,14,15,7,8,12,8,5,4,1,1,0,0,Ligue1
28/02/2025,19:45,Monaco,Reims,3,0,H,23,9,9,5,7,7,7,2,0,0,0,0,Ligue1
01/03/2025,16:00,St Etienne,Nice,1,3,A,12,16,3,9,10,11,3,4,2,1,0,0,Ligue1
01/03/2025,18:00,Lens,Le Havre,3,4,A,20,8,7,4,12,11,9,2,2,2,0,0,Ligue1
01/03/2025,20:05,Paris SG,Lille,4,1,H,26,6,11,2,6,10,9,3,0,1,0,0,Ligue1
02/03/2025,14:00,Lyon,Brest,2,1,H,10,15,4,5,16,12,2,5,2,1,0,0,Ligue1
02/03/2025,16:15,Angers,Toulouse,0,4,A,5,19,1,13,13,9,4,9,3,3,0,0,Ligue1
02/03/2025,16:15,Auxerre,Strasbourg,0,1,A,14,6,5,3,10,10,5,3,1,3,0,1,Ligue1
02/03/2025,16:15,Montpellier,Rennes,0,4,A,16,15,5,9,15,15,6,5,2,1,0,0,Ligue1
02/03/2025,19:45,Marseille,Nantes,2,0,H,21,8,5,2,14,15,3,2,1,2,0,0,Ligue1
07/03/2025,19:45,Toulouse,Monaco,1,1,D,8,13,3,3,16,17,3,5,1,3,0,0,Ligue1
08/03/2025,16:00,Rennes,Paris SG,1,4,A,13,19,3,9,11,6,3,2,2,3,0,0,Ligue1
08/03/2025,18:00,Lille,Montpellier,1,0,H,18,10,8,3,11,12,7,1,2,3,0,0,Ligue1
08/03/2025,20:05,Marseille,Lens,0,1,A,15,3,6,2,15,12,7,0,3,1,0,0,Ligue1
09/03/2025,14:00,Brest,Angers,2,0,H,19,7,7,1,14,8,6,6,1,1,0,0,Ligue1
09/03/2025,16:15,Le Havre,St Etienne,1,1,D,13,12,7,3,9,17,5,6,2,3,0,0,Ligue1
09/03/2025,16:15,Nantes,Strasbourg,0,1,A,11,9,2,1,12,17,3,9,1,1,0,0,Ligue1
09/03/2025,16:15,Reims,Auxerre,0,2,A,18,13,4,9,9,13,6,12,1,1,0,0,Ligue1
09/03/2025,19:45,Nice,Lyon,0,2,A,18,8,4,5,12,11,9,2,1,2,0,0,Ligue1
14/03/2025,19:45,Nice,Auxerre,1,1,D,20,10,6,4,14,18,7,3,1,3,1,0,Ligue1
15/03/2025,16:00,Nantes,Lille,1,0,H,10,13,3,4,9,15,3,5,2,3,1,0,Ligue1
15/03/2025,18:00,Angers,Monaco,0,2,A,6,16,2,5,12,11,0,9,1,2,0,0,Ligue1
15/03/2025,20:05,Lens,Rennes,1,0,H,9,12,4,5,17,14,5,4,1,1,0,0,Ligue1
16/03/2025,14:00,Lyon,Le Havre,4,2,H,16,14,7,5,20,12,4,1,2,3,0,0,Ligue1
16/03/2025,16:15,Brest,Reims,0,0,D,11,12,0,2,9,13,4,4,1,3,1,0,Ligue1
16/03/2025,16:15,Montpellier,St Etienne,0,2,A,13,11,3,6,4,7,4,6,1,3,0,1,Ligue1
16/03/2025,16:15,Strasbourg,Toulouse,2,1,H,10,11,3,7,10,14,4,3,0,2,0,0,Ligue1
16/03/2025,19:45,Paris SG,Marseille,3,1,H,16,11,5,2,7,9,5,5,1,0,0,0,Ligue1
28/03/2025,19:45,Strasbourg,Lyon,4,2,H,14,16,7,11,12,15,6,5,2,2,0,0,Ligue1
29/03/2025,16:00,Reims,Marseille,3,1,H,7,20,5,8,6,9,0,12,0,0,0,0,Ligue1
29/03/2025,18:00,St Etienne,Paris SG,1,6,A,11,22,2,10,9,12,3,6,2,0,0,0,Ligue1
29/03/2025,20:05,Monaco,Nice,2,1,H,17,9,6,4,17,14,7,4,2,4,0,1,Ligue1
30/03/2025,14:00,Toulouse,Brest,2,4,A,17,10,4,5,10,18,10,3,0,5,0,0,Ligue1
