Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
21/11/2021,16:00,Clermont,Nice,1,2,A,18,9,6,4,7,16,3,5,1,4,0,0,Ligue1
26/11/2021,20:00,Lens,Angers,2,2,D,9,12,4,5,15,6,5,5,2,0,0,0,Ligue1
27/11/2021,16:00,Lille,Nantes,1,1,D,10,7,3,3,7,12,12,1,1,2,0,1,Ligue1
27/11/2021,20:00,Nice,Metz,0,1,A,20,4,2,1,13,12,8,1,2,2,0,0,Ligue1
28/11/2021,12:00,St Etienne,Paris SG,1,3,A,8,15,4,8,7,10,5,5,3,1,1,0,Ligue1
28/11/2021,14:00,Bordeaux,Brest,1,2,A,16,14,4,4,13,11,5,2,3,1,0,0,Ligue1
28/11/2021,14:00,Lorient,Rennes,0,2,A,6,11,0,5,11,11,3,4,0,2,0,0,Ligue1
28/11/2021,14:00,Monaco,Strasbourg,1,1,D,8,7,3,4,12,9,4,3,2,1,0,0,Ligue1
28/11/2021,14:00,Reims,Clermont,1,0,H,12,4,3,0,13,13,4,1,2,2,0,0,Ligue1
28/11/2021,16:00,Montpellier,Lyon,0,1,A,15,11,6,3,7,15,8,5,1,4,0,0,Ligue1
28/11/2021,19:45,Marseille,Troyes,1,0,H,14,5,4,2,10,17,7,3,1,4,0,0,Ligue1
01/12/2021,18:00,Angers,Monaco,1,3,A,9,14,3,8,13,18,4,4,1,2,0,0,Ligue1
01/12/2021,18:00,Brest,St Etienne,1,0,H,8,13,3,3,8,9,1,3,2,3,0,0,Ligue1
01/12/2021,18:00,Metz,Montpellier,1,3,A,20,10,7,7,14,9,7,4,2,2,0,0,Ligue1
01/12/2021,18:00,Strasbourg,Bordeaux,5,2,H,19,13,6,2,14,13,5,2,2,3,0,0,Ligue1
01/12/2021,18:00,Troyes,Lorient,2,0,H,10,9,3,3,12,11,4,3,1,1,0,0,Ligue1
01/12/2021,20:00,Clermont,Lens,2,2,D,19,9,7,2,7,13,5,3,4,5,1,0,Ligue1
01/12/2021,20:00,Lyon,Reims,1,2,A,14,8,6,4,14,17,3,4,3,2,0,0,Ligue1
01/12/2021,20:00,Nantes,Marseille,0,1,A,3,15,1,5,13,7,4,6,3,2,1,0,Ligue1
01/12/2021,20:00,Paris SG,Nice,0,0,D,22,4,5,2,5,13,6,5,2,2,0,0,Ligue1
