Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
16/02/2024,19:30,FC Koln,Werder Bremen,0,1,A,10,13,2,4,16,11,5,3,4,4,0,0
17/02/2024,14:30,Darmstadt,Stuttgart,1,2,A,21,13,9,4,15,14,5,3,4,5,0,1
17/02/2024,14:30,Heidenheim,Leverkusen,1,2,A,6,17,3,4,15,5,4,5,2,1,0,0
17/02/2024,14:30,Hoffenheim,Union Berlin,0,1,A,16,10,4,3,10,7,6,2,3,4,1,1
17/02/2024,14:30,Mainz,Augsburg,1,0,H,19,10,4,4,8,16,7,7,3,2,0,1
17/02/2024,14:30,Wolfsburg,Dortmund,1,1,D,9,12,4,5,18,5,5,3,3,1,0,0
17/02/2024,17:30,RB Leipzig,M'gladbach,2,0,H,16,13,9,0,12,13,8,4,1,5,0,0
18/02/2024,14:30,Freiburg,Ein Frankfurt,3,3,D,13,10,8,6,8,10,6,1,0,0,0,0
18/02/2024,16:30,Bochum,Bayern Munich,3,2,H,14,26,5,10,12,10,4,9,2,4,0,1
23/02/2024,19:30,Leverkusen,Mainz,2,1,H,18,13,7,4,14,16,11,2,3,5,0,1
24/02/2024,14:30,M'gladbach,Bochum,5,2,H,22,15,6,5,13,13,5,6,2,4,0,0
24/02/2024,14:30,Stuttgart,FC Koln,1,1,D,13,12,5,6,11,13,9,4,1,0,0,0
24/02/2024,14:30,Union Berlin,Heidenheim,2,2,D,12,9,3,4,9,12,4,2,2,1,0,0
24/02/2024,14:30,Werder Bremen,Darmstadt,1,1,D,13,11,4,3,10,13,4,6,3,4,0,0
24/02/2024,17:30,Bayern Munich,RB Leipzig,2,1,H,16,11,4,5,11,10,6,4,3,3,0,0
25/02/2024,14:30,Ein Frankfurt,Wolfsburg,2,2,D,12,14,5,8,9,7,5,3,2,1,0,0
25/02/2024,16:30,Dortmund,Hoffenheim,2,3,A,19,7,7,5,7,10,10,3,2,3,0,0
25/02/2024,18:30,Augsburg,Freiburg,2,1,H,21,5,8,1,16,11,10,2,3,1,0,0
01/03/2024,19:30,Freiburg,Bayern Munich,2,2,D,17,21,5,9,11,7,3,6,1,2,0,0
02/03/2024,14:30,Bochum,RB Leipzig,1,4,A,15,10,4,4,13,10,2,5,3,2,1,0
02/03/2024,14:30,Darmstadt,Augsburg,0,6,A,10,21,5,6,4,12,3,6,2,0,0,0
02/03/2024,14:30,Heidenheim,Ein Frankfurt,1,2,A,16,11,3,6,6,10,7,3,1,4,0,0
02/03/2024,14:30,Mainz,M'gladbach,1,1,D,21,14,5,5,12,15,12,6,5,1,1,0
02/03/2024,14:30,Union Berlin,Dortmund,0,2,A,13,12,5,7,11,8,8,7,2,1,0,0
02/03/2024,17:30,Wolfsburg,Stuttgart,2,3,A,12,7,2,3,20,12,5,4,3,2,0,0
