Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
05/01/15,Lazio,Sampdoria,3.0,0.0,H,21.0,2.0,8.0,1.0,20.0,9.0,12.0,1.0,2.0,2.0,0.0,0.0,Serie A
06/01/15,Cesena,Napoli,1.0,4.0,A,10.0,16.0,3.0,6.0,7.0,14.0,2.0,6.0,2.0,2.0,0.0,0.0,Serie A
06/01/15,Chievo,Torino,0.0,0.0,D,18.0,8.0,6.0,3.0,18.0,17.0,9.0,0.0,2.0,3.0,0.0,0.0,Serie A
06/01/15,Empoli,Verona,0.0,0.0,D,19.0,10.0,5.0,5.0,17.0,20.0,11.0,1.0,0.0,3.0,1.0,1.0,Serie A
06/01/15,Genoa,Atalanta,2.0,2.0,D,17.0,7.0,7.0,6.0,13.0,14.0,12.0,2.0,4.0,4.0,0.0,0.0,Serie A
06/01/15,Juventus,Inter,1.0,1.0,D,11.0,13.0,5.0,2.0,10.0,12.0,11.0,3.0,2.0,5.0,0.0,1.0,Serie A
06/01/15,Milan,Sassuolo,1.0,2.0,A,13.0,8.0,4.0,2.0,19.0,17.0,9.0,1.0,3.0,3.0,0.0,0.0,Serie A
06/01/15,Palermo,Cagliari,5.0,0.0,H,16.0,11.0,7.0,2.0,16.0,17.0,7.0,1.0,3.0,3.0,0.0,1.0,Serie A
06/01/15,Parma,Fiorentina,1.0,0.0,H,6.0,17.0,2.0,7.0,20.0,15.0,3.0,2.0,6.0,1.0,0.0,2.0,Serie A
06/01/15,Udinese,Roma,0.0,1.0,A,8.0,13.0,2.0,7.0,12.0,16.0,5.0,4.0,1.0,5.0,0.0,0.0,Serie A
10/01/15,Sassuolo,Udinese,1.0,1.0,D,18.0,6.0,2.0,3.0,13.0,22.0,10.0,4.0,3.0,2.0,0.0,0.0,Serie A
10/01/15,Torino,Milan,1.0,1.0,D,26.0,8.0,5.0,1.0,15.0,15.0,9.0,0.0,1.0,3.0,0.0,1.0,Serie A
11/01/15,Atalanta,Chievo,1.0,1.0,D,16.0,11.0,6.0,4.0,13.0,20.0,9.0,7.0,3.0,0.0,1.0,0.0,Serie A
