Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
26/11/2023,19:45,Juventus,Inter,1,1,D,4,8,1,4,12,13,1,0,2,1,0,0
27/11/2023,17:30,Verona,Lecce,2,2,D,19,14,11,5,15,17,4,2,1,2,0,0
27/11/2023,19:45,Bologna,Torino,2,0,H,13,9,2,3,16,15,3,2,3,4,0,0
01/12/2023,19:45,Monza,Juventus,1,2,A,16,18,1,7,12,8,7,3,1,2,0,0
02/12/2023,14:00,Genoa,Empoli,1,1,D,21,9,1,1,15,19,5,3,3,1,0,0
02/12/2023,17:00,Lazio,Cagliari,1,0,H,10,9,5,2,11,12,4,3,0,2,0,1
02/12/2023,19:45,Milan,Frosinone,3,1,H,10,15,3,3,11,6,6,7,1,1,0,0
03/12/2023,11:30,Lecce,Bologna,1,1,D,14,11,4,4,12,18,6,3,3,2,0,0
03/12/2023,14:00,Fiorentina,Salernitana,3,0,H,22,11,9,1,13,12,3,2,1,0,0,0
03/12/2023,14:00,Udinese,Verona,3,3,D,12,13,6,4,16,13,5,3,2,5,0,0
03/12/2023,17:00,Sassuolo,Roma,1,2,A,8,15,2,7,10,11,1,11,4,1,1,0
03/12/2023,19:45,Napoli,Inter,0,3,A,15,11,4,4,2,13,6,4,2,2,0,0
04/12/2023,19:45,Torino,Atalanta,3,0,H,9,10,5,4,12,14,4,3,2,2,0,0
08/12/2023,19:45,Juventus,Napoli,1,0,H,11,13,2,1,11,12,3,6,2,4,0,0
09/12/2023,14:00,Verona,Lazio,1,1,D,5,14,1,5,16,11,1,7,2,4,1,0
09/12/2023,17:00,Atalanta,Milan,3,2,H,19,14,7,4,11,11,6,4,1,5,0,1
09/12/2023,19:45,Inter,Udinese,4,0,H,17,11,8,1,9,6,6,1,0,1,0,0
10/12/2023,11:30,Frosinone,Torino,0,0,D,11,16,5,3,13,17,3,8,3,3,0,0
10/12/2023,14:00,Monza,Genoa,1,0,H,6,16,3,1,11,13,2,3,1,2,0,0
10/12/2023,17:00,Salernitana,Bologna,1,2,A,9,10,2,5,20,15,5,1,7,2,0,0
10/12/2023,19:45,Roma,Fiorentina,1,1,D,4,14,1,8,14,14,1,6,5,3,2,1
11/12/2023,17:30,Empoli,Lecce,1,1,D,18,14,6,5,14,18,8,3,2,2,0,0
11/12/2023,19:45,Cagliari,Sassuolo,2,1,H,18,8,6,4,15,15,10,4,1,7,0,1
15/12/2023,19:45,Genoa,Juventus,1,1,D,11,11,3,4,14,12,6,8,2,3,0,0
16/12/2023,14:00,Lecce,Frosinone,2,1,H,18,11,6,5,8,14,5,4,1,4,0,0
16/12/2023,17:00,Napoli,Cagliari,2,1,H,21,9,5,3,9,10,5,3,5,3,0,0
16/12/2023,19:45,Torino,Empoli,1,0,H,10,7,3,2,15,10,6,4,4,2,0,0
17/12/2023,11:30,Milan,Monza,3,0,H,17,21,9,4,8,8,4,5,1,2,0,0
17/12/2023,14:00,Fiorentina,Verona,1,0,H,5,19,3,7,11,12,1,6,3,1,0,0
17/12/2023,14:00,Udinese,Sassuolo,2,2,D,9,21,7,7,13,6,1,13,3,1,1,0
17/12/2023,17:00,Bologna,Roma,2,0,H,8,8,2,3,16,16,0,4,4,4,0,0
17/12/2023,19:45,Lazio,Inter,0,2,A,13,12,4,4,13,15,8,7,1,2,1,0
18/12/2023,19:45,Atalanta,Salernitana,4,1,H,20,10,11,3,9,11,10,7,1,2,0,0
22/12/2023,17:30,Empoli,Lazio,0,2,A,21,14,7,7,6,17,8,9,3,2,0,0
22/12/2023,17:30,Sassuolo,Genoa,1,2,A,12,14,3,5,11,9,3,6,2,1,0,0
22/12/2023,19:45,Monza,Fiorentina,0,1,A,7,14,2,5,12,16,1,4,3,4,0,0
22/12/2023,19:45,Salernitana,Milan,2,2,D,19,21,7,9,16,11,6,6,3,1,1,0
23/12/2023,11:30,Frosinone,Juventus,1,2,A,10,13,3,3,6,12,8,8,0,2,0,0
23/12/2023,14:00,Bologna,Atalanta,1,0,H,9,12,1,2,10,14,2,3,2,4,0,0
23/12/2023,14:00,Torino,Udinese,1,1,D,14,10,4,4,10,11,8,2,2,2,0,0
23/12/2023,17:00,Inter,Lecce,2,0,H,20,11,8,5,8,14,16,2,1,3,0,1
23/12/2023,17:00,Verona,Cagliari,2,0,H,13,12,5,3,8,19,11,7,3,4,0,1
23/12/2023,19:45,Roma,Napoli,2,0,H,17,7,4,2,19,12,4,0,7,4,0,2
29/12/2023,17:30,Fiorentina,Torino,1,0,H,12,6,3,3,11,15,4,2,4,2,0,0
29/12/2023,17:30,Napoli,Monza,0,0,D,25,8,9,3,10,21,10,1,4,4,0,0
29/12/2023,19:45,Genoa,Inter,1,1,D,13,16,4,6,13,15,8,2,2,2,0,0
29/12/2023,19:45,Lazio,Frosinone,3,1,H,13,11,5,2,18,15,6,2,3,2,0,0
30/12/2023,11:30,Atalanta,Lecce,1,0,H,17,15,4,2,10,16,5,6,2,2,0,0
30/12/2023,14:00,Cagliari,Empoli,0,0,D,15,5,3,1,18,18,8,6,1,3,0,0
30/12/2023,14:00,Udinese,Bologna,3,0,H,15,14,7,5,15,14,7,7,2,5,0,0
30/12/2023,17:00,Milan,Sassuolo,1,0,H,20,12,2,6,8,7,6,5,0,1,0,0
30/12/2023,17:00,Verona,Salernitana,0,1,A,11,9,0,3,14,13,7,6,2,2,0,0
30/12/2023,19:45,Juventus,Roma,1,0,H,13,11,4,2,15,14,2,2,1,1,0,0
05/01/2024,19:45,Bologna,Genoa,1,1,D,21,3,8,1,8,10,11,2,3,3,0,0
06/01/2024,11:30,Inter,Verona,2,1,H,15,8,6,3,16,15,7,0,0,2,0,1
06/01/2024,14:00,Frosinone,Monza,2,3,A,10,7,5,2,11,16,5,1,3,5,0,0
06/01/2024,17:00,Lecce,Cagliari,1,1,D,15,14,2,2,20,14,7,6,1,1,0,0
06/01/2024,19:45,Sassuolo,Fiorentina,1,0,H,7,9,1,3,10,14,1,8,3,2,0,0
07/01/2024,11:30,Empoli,Milan,0,3,A,17,13,2,6,9,13,6,6,1,2,0,0
